id,name,artist,album,album_art_url,duration_ms,popularity,explicit,release_year,uri,tag_energetic,tag_high_energy,tag_upbeat,tag_uptempo,tag_calm,tag_relaxing,tag_mellow,tag_lo_fi,tag_ambient,tag_happy,tag_feel_good,tag_uplifting,tag_sad,tag_melancholic,tag_melancholy,tag_dark,tag_depressing,tag_angry,tag_aggressive,tag_intense,tag_workout,tag_running,tag_gym,tag_study,tag_focus,tag_concentration,tag_sleep,tag_party,tag_dance,tag_dancing,tag_club,tag_chill,tag_chillout,tag_background,tag_acoustic,tag_electronic,tag_instrumental,tag_indie,tag_pop,tag_hip_hop,tag_rap,tag_rock,tag_metal,tag_jazz,tag_classical,tag_soul,tag_rnb,tag_randb,listeners_log,playcount_log,mood_score,energy_proxy,release_recency,cluster_id,mood_label
3AaWstrjYpOj1Ls08R6Asx,relock,Lil Dreezy,in my eyes,https://i.scdn.co/image/ab67616d0000b273fed22812802abc575fcac134,169758,0,1,2026,spotify:track:3AaWstrjYpOj1Ls08R6Asx,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.230704313612569,4.005137595908864,0.0,0.0,1.0,3,Late Night / Dark
5zE2NfNO04DYlvdUrp4tQk,worry - Slowed,LONOWN,worry,https://i.scdn.co/image/ab67616d0000b2731a96d003c1b314bad5325fae,201899,0,0,2025,spotify:track:5zE2NfNO04DYlvdUrp4tQk,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.9449266099862155,4.612836816232258,0.0,0.0,0.975609756097561,0,Chill / Relaxed
4nXpzLvQmGtQk9JKjltsnz,Raindrop Flower,OSRSBeatz,Raindrop Flower,https://i.scdn.co/image/ab67616d0000b2731409f8f80abeb932920bea39,122253,0,0,2020,spotify:track:4nXpzLvQmGtQk9JKjltsnz,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.66,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.833784374656479,3.532117116248804,0.0,0.0,0.8536585365853658,3,Late Night / Dark
52VyUACgDgA0koWh7rfJoB,Still the Same! 2,Autumn!,"Golden Child, Chapter 3",https://i.scdn.co/image/ab67616d0000b273edc353a73ff6b56eecfa51c2,172948,0,1,2023,spotify:track:52VyUACgDgA0koWh7rfJoB,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02,0.08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.095354192472725,6.328624615048652,0.0,0.0,0.926829268292683,2,Late Night / Dark
4N7HxVSOdRKlPbSWzghIyN,Blonde,OsamaSon,Flex Musix,https://i.scdn.co/image/ab67616d0000b273c1ce808155be3a39c3b1e4cd,144601,0,1,2023,spotify:track:4N7HxVSOdRKlPbSWzghIyN,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.183229972195255,6.4935730575792805,0.0,0.0,0.926829268292683,2,Late Night / Dark
2EcthdKHbmW0ZC9uIQLXEp,Heartache Hotel,Closer 2 Closure,In the Middle,https://i.scdn.co/image/ab67616d0000b2738aec10e411533f304bea0630,193696,0,0,2025,spotify:track:2EcthdKHbmW0ZC9uIQLXEp,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.373463721632369,4.330596382164847,0.0,0.0,0.975609756097561,3,Late Night / Dark
7rR1msZYCT2MlrssnJMYgw,Pro: Lov: Ad,Sweet Trip,Velocity: Design: Comfort.,https://i.scdn.co/image/ab67616d0000b2732aa34d5906e01231eff70f82,346306,0,0,2003,spotify:track:7rR1msZYCT2MlrssnJMYgw,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.38,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.364382122338207,5.101990952517063,0.0,0.0,0.43902439024390244,0,Chill / Relaxed
2pygd4Egw4k9ENnHn4GHXR,Been knew that,Izaya Tiji,Know Nothing Else,https://i.scdn.co/image/ab67616d0000b273b1d6395e131cb1f685dbdbd0,179200,0,1,2021,spotify:track:2pygd4Egw4k9ENnHn4GHXR,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.026300325437447,6.203173275319492,0.0,0.0,0.8780487804878049,2,Late Night / Dark
1YgDGKyKhFlimPw3mLavPG,Fancy Clown (feat. Viktor Vaughn),Madvillain,Madvillainy,https://i.scdn.co/image/ab67616d0000b2733e3bb917af94bd82074c5d47,115826,0,1,2004,spotify:track:1YgDGKyKhFlimPw3mLavPG,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.17,0.17,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.25,0.0,0.0,5.434008110638721,6.176012789430648,0.0,0.0,0.4634146341463415,2,Late Night / Dark
6lbhkPbkKj6jnPTt1FelVo,Bullet Train (feat. Joni Fatora),Stephen Swartz,Bullet Train (feat. Joni Fatora),https://i.scdn.co/image/ab67616d0000b27349efc02176dcb6022cec4b19,245538,0,0,2012,spotify:track:6lbhkPbkKj6jnPTt1FelVo,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.901316621286563,5.784915277561788,0.0,0.0,0.6585365853658537,0,Chill / Relaxed
2LXrbR5g8YtHOwsUajVA3n,In the dark,venturing,In the dark,https://i.scdn.co/image/ab67616d0000b273eab809c713e17d4cab8a383a,241255,0,0,2026,spotify:track:2LXrbR5g8YtHOwsUajVA3n,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.446366273680359,5.5242325005387425,0.0,0.0,1.0,0,Chill / Relaxed
3n2t35gDOHQS0NMtxKKkZq,Sing Good,Ninajirachi,I Love My Computer,https://i.scdn.co/image/ab67616d0000b273e04b8c0b83df4247f25ac979,160019,0,0,2025,spotify:track:3n2t35gDOHQS0NMtxKKkZq,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.937803650011097,5.630298686258993,0.0,0.0,0.975609756097561,2,Late Night / Dark
6CfromGdojo0R0vlgA7iU8,Infohazard,Ninajirachi,I Love My Computer,https://i.scdn.co/image/ab67616d0000b273e04b8c0b83df4247f25ac979,269365,0,0,2025,spotify:track:6CfromGdojo0R0vlgA7iU8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.042382537300986,5.9142537499055425,0.0,0.0,0.975609756097561,0,Chill / Relaxed
1xqT27jSG1Y15vOXfsV0gv,iPod Touch,Ninajirachi,I Love My Computer,https://i.scdn.co/image/ab67616d0000b273e04b8c0b83df4247f25ac979,196522,0,0,2025,spotify:track:1xqT27jSG1Y15vOXfsV0gv,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.232304752797669,6.242979228821996,0.0,0.0,0.975609756097561,1,Chill / Relaxed
0CVbCtcdXAIw00YBXXbneu,Delete,Ninajirachi,I Love My Computer,https://i.scdn.co/image/ab67616d0000b273e04b8c0b83df4247f25ac979,231365,0,0,2025,spotify:track:0CVbCtcdXAIw00YBXXbneu,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.106092260064757,6.042656615169068,0.0,0.0,0.975609756097561,1,Chill / Relaxed
7egX3ViKzZmm3CDJkMB2Gu,Sometimes Memory Fails Me Sometimes,Everyone Asked About You,"Paper Airplanes, Paper Hearts",https://i.scdn.co/image/ab67616d0000b273c7a749aa319cf8e2b9ddc059,284933,0,0,2023,spotify:track:7egX3ViKzZmm3CDJkMB2Gu,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.2347374119809045,6.214542650440041,0.0,0.0,0.926829268292683,1,Chill / Relaxed
3HfEgAaf0koxBpBB8NvGda,When You Sleep,my bloody valentine,Loveless,https://i.scdn.co/image/ab67616d0000b2730ede770070357575bc050511,251933,0,0,1991,spotify:track:3HfEgAaf0koxBpBB8NvGda,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.21,0.0,0.0,0.0,0.04,0.0,0.0,0.0,0.0,0.0,0.0,6.0957117934251865,7.274701416591601,0.0,0.0,0.14634146341463414,1,Chill / Relaxed
3vOTMH5CaXEiUHvJYHcvrn,urrr maddd,darrens diamond,urrr maddd,https://i.scdn.co/image/ab67616d0000b2738a975662076ba36cec646a89,172849,0,0,2025,spotify:track:3vOTMH5CaXEiUHvJYHcvrn,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.2016701796465816,4.120672623282608,0.0,0.0,0.975609756097561,3,Late Night / Dark
